country1_code,latitude_1,longitude_1,country2_code,latitude_2,longitude_2,incident_year,incidents_in_year,prediction,prediction_error
AFG,33.0000,65.0000,MLI,17.0000,-4.0000,2020,1,2.108098297695569,1.1080982976955691
AFG,33.0000,65.0000,PAK,30.0000,70.0000,2020,3,2.3384257273161877,0.6615742726838123
AFG,33.0000,65.0000,POL,52.0000,20.0000,2020,1,2.3878713794951256,1.3878713794951256
RUS,60.0000,100.0000,CYP,35.0000,33.0000,2018,2,0.22091037226702426,1.7790896277329757
AFG,33.0000,65.0000,ISR,31.5000,34.7500,2018,1,1.980017732236857,0.9800177322368571
KOR,37.0000,127.5000,CAN,60.0000,-95.0000,2015,3,0.848452906475945,2.151547093524055
IND,20.0000,77.0000,CHN,35.0000,105.0000,2018,2,1.572027870697152,0.427972129302848
CHN,35.0000,105.0000,AUT,47.3333,13.3333,2020,2,3.82764478164083,1.82764478164083
CHN,35.0000,105.0000,COL,4.0000,-72.0000,2020,2,2.0181022309497196,0.018102230949719633
CHN,35.0000,105.0000,IRL,53.0000,-8.0000,2020,4,3.0325300843411447,0.9674699156588553
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2020,15,18.8479164676482,3.8479164676482007
CHN,35.0000,105.0000,USA,38.0000,-97.0000,2020,13,14.10872275094993,1.10872275094993
IND,20.0000,77.0000,JPN,36.0000,138.0000,2018,4,1.4105664017441901,2.58943359825581
VNM,16.0000,106.0000,CHN,35.0000,105.0000,2020,3,5.149237891820256,2.149237891820256
VNM,16.0000,106.0000,JPN,36.0000,138.0000,2020,4,2.718406948346209,1.281593051653791
VNM,16.0000,106.0000,KHM,13.0000,105.0000,2020,2,2.3996423356801255,0.3996423356801255
VNM,16.0000,106.0000,NPL,28.0000,84.0000,2020,1,1.9498733564055692,0.9498733564055692
